experiment_id;seed;instance;n;m;s;best_known_result;max_generations;population_size;encoding_method;selection_method;mutation_method;crossover_method;parent_selection_method;mutation_probability;crossover_probability;elite_size;offspring_size;total_time;best_solution_found;best_solution_hash;elite_fitness;elite_hash;diff;gap
30;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;tournament_2;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.3;4.015072346;-1.651488619;1308385402;-1.651488619078269,-1.6637132552305949,-1.6901665715670546,-1.6959502918804032,-1.708044254673832,-1.7177109318818,-1.7240361790429892,-1.7258483109526188;1308385402,1845239930,-1017178065,-816371050,-552609266,-1042343874,-543204858,-14722554;0.097682082;6.29%
57;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;fullyrandom;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.3;1.673271418;-1.651824589;-754468642;-1.6518245892720693,-1.6820018894469675,-1.6820018894469675,-1.7018436852192773,-1.7018436852192773,-1.7018436852192773,-1.7018436852192773,-1.7018436852192773;-754468642,-750003922,-750003922,-750005842,-750005842,-750005842,-750005842,-750005842;0.098018052;6.31%
55;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;fullyrandom;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.5;2.818077326;-1.653166263;2110628630;-1.6531662630402537,-1.6827343228156741,-1.7159513525275343,-1.7181204025169856,-1.719274127171755,-1.719274127171755,-1.719274127171755,-1.719274127171755;2110628630,-319467338,1869904323,1868888518,1869412678,1869412678,1869412678,1869412678;0.099359726;6.39%
62;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;tournament_2;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;10.95681548;-1.654275305;1408147998;-1.654275304582118,-1.7235384975442634,-1.7693244088391844,-1.7693244088391844,-1.7693244088391844,-1.7693244088391844,-1.7748308446985157,-1.7748308446985157,-1.7748308446985157,-1.7762144804066842,-1.7889883277109342,-1.7960436096490848,-1.801224033880056,-1.8028692640445194,-1.807288198634275;1408147998,-752428401,1339496547,1339496547,1339496547,1324816483,-500195074,-500195074,-500195074,2111676470,-252927937,1155487303,-548063094,-828269770,2111117374;0.100468767;6.47%
59;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;fullyrandom;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;2.797914982;-1.656947377;1729071735;-1.6569473766519156,-1.7108691678017125,-1.7108691678017125,-1.7108691678017125,-1.7108691678017125,-1.7108691678017125,-1.7108691678017125,-1.7108691678017125;17,290,717,351,729,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.103140839;6.64%
50;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;byclass_0.1_0.1;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;3.558907747;-1.657762564;1601079854;-1.6577625644905734,-1.6577625644905734,-1.6577625644905734,-1.6577625644905734,-1.6577625644905734,-1.7089707998771089,-1.7297531670940547,-1.755594009140981;1601079854,1601079854,1601079854,1601079854,1601079854,1424921183,-171498857,-574098045;0.103956027;6.69%
40;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;roulette;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;2.286156178;-1.66018196;1089466462;-1.660181960153066,-1.660181960153066,-1.660181960153066,-1.660181960153066,-1.660181960153066,-1.660181960153066,-1.660181960153066,-1.660181960153066;10,894,664,621,089,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.106375423;6.85%
70;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;roulette;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;4.618437529;-1.663496418;1871044422;-1.6634964184194279,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677,-1.6634975901939677;187,104,442,218,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.109689881;7.06%
87;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;fullyrandom;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.3;3.235424757;-1.667129088;1362028187;-1.6671290880061536,-1.8127227963677832,-1.8127227963677832,-1.8259803491572584,-1.8395815708628755,-1.8426747755732549,-1.8591961399308976,-1.8689539557381816,-1.8783454310850543,-1.9043687908842823,-1.9149800351234807,-1.9149800351234807,-1.9202251222381594,-1.9218717704611348,-1.924232004442743;1362028187,1603558438,1603558438,-341497414,-341497542,1361999515,-431408881,1429137051,1807817550,-498386673,-811234445,-811234445,-218063973,-812709005,-374986246;0.11332255;7.29%
6;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;roulette;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.3;1.27869463;-1.668429816;-855682538;-1.6684298164567704,-1.6739538285042714,-1.7303601276883551,-1.8350231263499228,-1.8809656355125355;-855682538,-328363298,-838954474,-70874586,-330458530;0.114623279;7.38%
